HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD192310,2453942.09139,-5.31,1.14,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru82.859
HD192310,2453947.13006,-2.28,1.25,UCLES,-1.0000,-1.0000,0.6832,0.0018,ru82.2205
HD192310,2453947.13499,-4.85,1.21,UCLES,-1.0000,-1.0000,0.6801,0.002,ru82.2206
HD192310,2453947.13934,-2.80,1.24,UCLES,-1.0000,-1.0000,0.6822,0.0021,ru82.2207
HD192310,2453947.14358,-6.20,1.31,UCLES,-1.0000,-1.0000,0.6792,0.0021,ru82.2208
HD192310,2454008.00087,-1.70,1.41,UCLES,-1.0000,-1.0000,0.6816,0.002,ru83.48
HD192310,2454008.00452,-0.14,1.27,UCLES,-1.0000,-1.0000,0.6801,0.002,ru83.49
HD192310,2454008.00818,-2.21,1.33,UCLES,-1.0000,-1.0000,0.6832,0.0021,ru83.50
HD192310,2454008.01185,0.23,1.30,UCLES,-1.0000,-1.0000,0.6814,0.0021,ru83.51
HD192310,2454008.01550,-1.78,1.23,UCLES,-1.0000,-1.0000,0.6820,0.002,ru83.52
HD192310,2454008.99800,0.62,1.35,UCLES,-1.0000,-1.0000,0.6805,0.0021,ru83.185
HD192310,2454009.00166,4.62,1.26,UCLES,-1.0000,-1.0000,0.6809,0.002,ru83.186
HD192310,2454009.00531,-2.67,1.26,UCLES,-1.0000,-1.0000,0.6823,0.0019,ru83.187
HD192310,2454009.00897,0.24,1.18,UCLES,-1.0000,-1.0000,0.6842,0.0019,ru83.188
HD192310,2454009.97635,-3.01,1.29,UCLES,-1.0000,-1.0000,0.6843,0.0019,ru83.363
HD192310,2454009.98002,1.29,1.22,UCLES,-1.0000,-1.0000,0.6833,0.0019,ru83.364
HD192310,2454009.98366,-0.22,1.27,UCLES,-1.0000,-1.0000,0.6818,0.0019,ru83.365
HD192310,2454009.98732,-0.55,1.18,UCLES,-1.0000,-1.0000,0.6834,0.0019,ru83.366
HD192310,2454010.97573,-3.01,1.33,UCLES,-1.0000,-1.0000,0.6836,0.0019,ru83.587
HD192310,2454010.97998,-1.12,1.21,UCLES,-1.0000,-1.0000,0.6821,0.0019,ru83.588
HD192310,2454010.98421,-2.07,1.22,UCLES,-1.0000,-1.0000,0.6837,0.0019,ru83.589
HD192310,2454010.98845,-1.81,1.26,UCLES,-1.0000,-1.0000,0.6798,0.0019,ru83.590
HD192310,2454011.97278,-2.11,1.41,UCLES,-1.0000,-1.0000,0.6829,0.002,ru83.884
HD192310,2454011.97816,-1.46,1.23,UCLES,-1.0000,-1.0000,0.6832,0.0018,ru83.885
HD192310,2454011.98356,-2.55,1.27,UCLES,-1.0000,-1.0000,0.6839,0.0017,ru83.886
HD192310,2454011.98895,-2.13,1.20,UCLES,-1.0000,-1.0000,0.6828,0.0018,ru83.887
HD192310,2454012.93280,-1.46,1.24,UCLES,-1.0000,-1.0000,0.6817,0.0019,ru83.1161
HD192310,2454012.93644,0.42,1.19,UCLES,-1.0000,-1.0000,0.6824,0.0019,ru83.1162
HD192310,2454012.94011,1.94,1.31,UCLES,-1.0000,-1.0000,0.6826,0.0019,ru83.1163
HD192310,2454012.94377,-3.71,1.27,UCLES,-1.0000,-1.0000,0.6839,0.002,ru83.1164
HD192310,2454014.99007,0.82,1.11,UCLES,-1.0000,-1.0000,0.6822,0.0018,ru83.1594
HD192310,2454014.99780,-1.87,1.18,UCLES,-1.0000,-1.0000,0.6841,0.0019,ru83.1595
HD192310,2454016.06747,-1.56,1.13,UCLES,-1.0000,-1.0000,0.6846,0.0019,ru83.1857
HD192310,2454016.07287,-5.21,1.25,UCLES,-1.0000,-1.0000,0.6838,0.002,ru83.1858
HD192310,2454016.97662,1.44,1.32,UCLES,-1.0000,-1.0000,0.6826,0.002,ru83.2067
HD192310,2454016.98432,-1.01,1.29,UCLES,-1.0000,-1.0000,0.6830,0.0021,ru83.2068
HD192310,2454016.99203,-2.07,1.11,UCLES,-1.0000,-1.0000,0.6835,0.0017,ru83.2069
HD192310,2454038.87940,5.57,1.66,UCLES,-1.0000,-1.0000,0.6720,0.0077,ru84.787
HD192310,2454038.88362,1.14,1.54,UCLES,-1.0000,-1.0000,0.6712,0.0062,ru84.788
HD192310,2454221.29334,-4.49,1.47,UCLES,-1.0000,-1.0000,0.6863,0.0022,ru88.169
HD192310,2454221.29755,-2.98,1.60,UCLES,-1.0000,-1.0000,0.6863,0.0023,ru88.170
HD192310,2454221.30177,-0.02,1.56,UCLES,-1.0000,-1.0000,0.6892,0.0024,ru88.171
HD192310,2454221.30599,-5.06,1.49,UCLES,-1.0000,-1.0000,0.6864,0.0022,ru88.172
HD192310,2454223.32556,-1.46,1.32,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru88.610
HD192310,2454223.32978,-4.49,1.35,UCLES,-1.0000,-1.0000,0.6862,0.0018,ru88.611
HD192310,2454226.33192,-1.45,1.27,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru88.1234
HD192310,2454226.33598,0.09,1.73,UCLES,-1.0000,-1.0000,0.6839,0.0028,ru88.1235
HD192310,2454227.33277,-2.51,1.42,UCLES,-1.0000,-1.0000,0.6861,0.0022,ru88.1451
HD192310,2454227.33583,-1.68,1.55,UCLES,-1.0000,-1.0000,0.6873,0.0021,ru88.1452
HD192310,2454253.20968,-2.62,1.27,UCLES,-1.0000,-1.0000,0.6862,0.002,ru89.170
HD192310,2454253.21251,-10.59,1.36,UCLES,-1.0000,-1.0000,0.6851,0.002,ru89.171
HD192310,2454253.21534,-4.99,1.28,UCLES,-1.0000,-1.0000,0.6877,0.002,ru89.172
HD192310,2454253.21817,4.09,1.41,UCLES,-1.0000,-1.0000,0.6871,0.0021,ru89.173
HD192310,2454334.04865,-7.33,2.14,UCLES,-1.0000,-1.0000,0.6825,0.0033,ru90.91
HD192310,2454334.05287,-3.72,2.33,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru90.92
HD192310,2454334.05708,-8.52,2.15,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru90.93
HD192310,2454334.06129,-0.30,2.33,UCLES,-1.0000,-1.0000,0.6848,0.0035,ru90.94
HD192310,2454334.06550,-9.63,2.37,UCLES,-1.0000,-1.0000,0.6824,0.0037,ru90.95
HD192310,2454371.99661,-0.89,1.22,UCLES,-1.0000,-1.0000,0.6843,0.0019,ru91.976
HD192310,2454372.00140,-3.06,1.36,UCLES,-1.0000,-1.0000,0.6831,0.0021,ru91.977
HD192310,2454372.00561,-6.07,1.36,UCLES,-1.0000,-1.0000,0.6828,0.002,ru91.978
