 89752 95735     j    rj124.70   2455733.745436     -3.71  1.002333   0.503    54073.0 
 89753 95735     j    rj124.291  2455734.7898       -4.69  0.900142   0.488    55565.0 
 89754 95735     j    rj124.292  2455734.791061     -5.92  0.935477   0.519    55070.0 
 89755 95735     j    rj124.293  2455734.792357     -3.03  0.932412   0.508    55315.0 
 89756 95735     j    rj875.125  2455749.782838     -2.35  1.043256   0.4786   89539.0 
 89757 95735     j    rj885.203  2455912.093625      6.86  0.834821   0.0      88592.0 
 89758 95735     j    rj885.204  2455912.095755      3.86  0.978355   0.0      88902.0 
 89759 95735     j    rj148.108  2456018.847367     -0.64  1.029933   0.503    55214.0 
 89760 95735     j    rj148.109  2456018.849034     -0.66  1.06782    0.506    56506.0 
 89761 95735     j    rj148.110  2456018.850746     -0.20  1.100358   0.504    55265.0 
 89762 95735     j    rj889.172  2456024.913226      3.03  0.924354   0.4662   87404.0 
 89763 95735     j    rj889.173  2456024.915622      2.82  0.88541    0.4605   87248.0 
 89764 95735     j    rj156.265  2456144.729598      2.57  1.100862   0.459    53566.0 
 89765 95735     j    rj156.266  2456144.731253      0.56  1.171261   0.463    54009.0 
 89766 95735     j    rj156.267  2456144.732943      2.69  1.195817   0.454    54861.0 
 89767 95735     j    rj156.484  2456145.730393      0.83  1.13389    0.44     53439.0 
 89768 95735     j    rj169.88   2456446.777773      1.65  0.936891   0.484    54328.0 
 89769 95735     j    rj170.70   2456448.808572     -0.89  0.96411    0.455    55016.0 
 89770 95735     j    rj170.269  2456449.793882     -0.09  0.929166   0.467    55958.0 
 89771 95735     j    rj170.468  2456450.807442      0.05  0.868232   0.452    55210.0 
 89772 95735     j    rj170.666  2456451.80377       0.70  0.945943   0.502    55592.0 
 89773 95735     j    rj172.175  2456472.749517      0.19  0.979521   0.41     54742.0 
 89774 95735     j    rj172.375  2456473.749435     -0.99  0.906814   0.421    54892.0 
 89775 95735     j    rj172.563  2456474.735061     -2.98  0.872591   0.42     55378.0 
 89776 95735     j    rj172.866  2456475.741762     -4.25  0.957659   0.41     56200.0 
 89777 95735     j    rj172.1064 2456476.74203      -0.45  0.953281   0.475    56567.0 
 89778 95735     j    rj172.1263 2456477.742623     -3.62  0.956934   0.415    54285.0 
 89779 95735     j    rj172.1463 2456478.741134     -0.66  1.081854   0.434    55741.0 
 89780 95735     j    rj173.67   2456482.743276      3.24  0.975328   0.409    53492.0 
 89781 95735     j    rj173.208  2456483.740773      3.44  1.017902   0.413    53213.0 
