tel	time	mnvel	errvel
APF	2457858.65674	-4.7	2.786092
APF	2457865.651708	-0.45	1.812016
APF	2457871.686288	-2.15	2.595717
APF	2457872.681753	-0.95	2.396253
APF	2457872.684056	-3.92	2.466347
APF	2457873.680596	-2.27	2.328628
APF	2457873.682702	-5.62	2.354662
APF	2457875.687968	-2.4	2.423702
APF	2457875.690514	-6.39	2.24157
APF	2457877.731805	-3.1	1.602929
APF	2457882.670593	-2.89	2.132174
APF	2457882.676715	-2.4	1.842461
APF	2457891.684877	-0.97	2.597824
APF	2457891.687666	-1.86	2.479378
APF	2457893.674993	0.15	1.649759
APF	2457894.677371	-2.3	1.335298
APF	2457896.699765	-1.36	1.834978
APF	2457897.694528	-3.5	1.85332
APF	2457901.697026	-3.56	1.705728
APF	2457903.68131	-1.27	2.354502
APF	2457903.683972	2.59	2.64512
APF	2457907.682274	-4.73	2.531095
APF	2457907.684554	-4.99	2.220006
APF	2457909.68164	-1.08	2.53947
APF	2457909.68392	-0.61	2.19421
APF	2457911.684873	-6.85	1.812798
APF	2457917.703482	-1.45	2.436119
APF	2457917.706225	-2.09	2.59223
APF	2457922.687942	-4.71	1.937171
APF	2457927.710065	-3.66	2.681119
APF	2457927.712739	-2.54	2.578937
APF	2457930.711022	-2.39	2.48241
APF	2457930.713603	-6.11	2.627532
APF	2457931.707361	0.13	1.951318
APF	2457933.685101	3.63	2.687022
APF	2457933.687671	2.88	2.373333
APF	2457933.693469	-2.13	2.050279
APF	2457937.691306	-2.63	1.769233
APF	2457940.691525	0.52	2.143144
APF	2457941.684332	-3.74	2.695572
APF	2457941.686843	3.07	2.778043
APF	2457948.694456	0.1	2.56448
APF	2457948.696713	-4.27	2.476529
APF	2457948.706979	-1.3	1.994847
APF	2457951.685683	-5.14	2.651627
APF	2457951.68824	-3.7	2.726549
APF	2457953.692802	-4.27	1.83857
APF	2457954.699268	-2.63	1.880534
APF	2457961.675472	-1.9	2.156245
APF	2457962.677099	-5.24	2.046031
APF	2458032.04321	-1.49	1.996888
APF	2458037.990634	-2.52	2.058492
APF	2458040.007966	-2.08	2.100865
APF	2458051.978033	-1.29	1.950161
APF	2458052.955204	-0.57	2.30471
APF	2458053.954275	-5.01	2.165556
APF	2458087.872102	-2.06	1.780062
APF	2458089.064175	-0.93	1.932849
APF	2458107.064474	-5.17	1.837649
APF	2458109.978827	-5.49	2.491427
APF	2458114.049013	-3.76	2.05006
APF	2458115.884683	-3.33	2.670236
APF	2458115.887322	-5.85	2.603191
APF	2458116.017829	-3.42	2.490854
APF	2458116.02048	-8.97	2.742133
APF	2458118.043486	-4.08	1.676222
APF	2458120.036995	-4.61	1.861411
APF	2458129.989723	-1.61	1.935464
APF	2458131.911906	-4.61	2.764554
APF	2458131.914476	-4.3	2.695037
APF	2458131.965937	-2.64	1.863545
APF	2458150.817052	-2.52	1.717749
APF	2458152.926513	-1.86	1.958166
APF	2458156.858811	-7.23	2.272464
APF	2458156.861056	-10.19	2.345025
APF	2458162.862991	-4.79	2.331153
APF	2458162.865549	-4.59	2.42521
APF	2458165.856021	-2.54	2.569895
APF	2458165.858706	-5.77	2.675922
APF	2458166.884501	-1.76	1.760298
APF	2458196.801487	-4.65	2.661007
APF	2458196.8043	-8.19	2.76097
APF	2458204.755576	0.24	2.851456
APF	2458204.758307	-6.75	2.884455
APF	2458207.725554	-4.7	1.845403
APF	2458210.760159	-3.64	1.815155
APF	2458222.932595	-0.49	1.543562
APF	2458228.667777	1.13	1.334416
APF	2458228.684269	0.23	1.373344
APF	2458230.664967	2.05	1.513148
APF	2458233.666579	1.19	1.857825
APF	2458233.684379	2.03	1.940906
APF	2458240.720625	0.75	2.332777
APF	2458240.723102	1.38	2.674189
APF	2458241.859803	2.92	2.416144
APF	2458241.86228	-2.71	2.549792
APF	2458256.689841	-2.36	2.368465
APF	2458256.692109	1.83	2.45389
APF	2458261.679152	-5.47	1.790432
APF	2458273.728306	-1.55	1.731371
APF	2458275.702941	-3.79	1.407566
APF	2458283.734819	0.21	1.90716
APF	2458285.692936	-2.75	1.734939
APF	2458288.702037	-3.4	2.241649
APF	2458288.705312	-5.36	1.83267
APF	2458289.688627	-4.63	1.915321
APF	2458291.690011	-2.26	2.773871
APF	2458291.692523	-4.97	2.667112
APF	2458294.718684	-0.48	2.764267
APF	2458294.721102	0.86	2.587001
APF	2458299.713866	-2.35	2.621542
APF	2458299.71632	-0.46	2.448041
APF	2458304.693539	0.49	2.007611
APF	2458307.703867	1.81	1.842154
APF	2458308.705529	0.65	1.972935
APF	2458311.704805	-3.62	2.068158
APF	2458314.699276	-4.14	1.925718
APF	2458318.684574	-3.11	2.212864
APF	2458320.70047	-3.51	2.094733
APF	2458321.694566	1.41	1.857773
APF	2458326.675725	-5.44	2.716834
APF	2458405.988327	-1.82	2.203719
APF	2458414.987016	-4.39	2.200192
APF	2458419.053858	-5.92	1.867243
APF	2458420.032812	-4.61	1.764225
APF	2458428.035853	-3.19	2.205577
APF	2458476.079957	4.09	2.418695
APF	2458487.990455	0.34	1.901459
APF	2458508.876616	-1.57	1.919936
APF	2458512.92411	1.34	2.669932
APF	2458557.929699	-3.89	1.561574
APF	2458574.792737	-4.03	1.632459
APF	2458606.789748	-2.62	1.661794
APF	2458606.789748	-2.62	1.661794
