 80841 75732     j    rj28.586   2454130.950324     50.06  1.156654   0.197    68563.0 
 80842 75732     j    rj28.947   2454131.878611     17.01  1.365695   0.197    68588.0 
 80843 75732     j    rj28.948   2454131.879722     17.59  1.314792   0.198    69850.0 
 80844 75732     j    rj28.949   2454131.880926     20.12  1.24006    0.197    68897.0 
 80845 75732     j    rj28.950   2454131.882292     18.69  1.38839    0.197    70885.0 
 80846 75732     j    rj28.951   2454131.883576     17.42  1.274395   0.197    70635.0 
 80847 75732     j    rj29.173   2454138.838403    -33.23  1.11264    0.202    76414.0 
 80848 75732     j    rj29.174   2454138.839201    -32.32  1.115801   0.202    76095.0 
 80849 75732     j    rj29.175   2454138.840116    -34.51  1.13172    0.203    77305.0 
 80850 75732     j    rj29.176   2454138.840914    -32.05  1.183785   0.202    73170.0 
 80851 75732     j    rj29.177   2454138.841725    -34.53  1.197593   0.202    76062.0 
 80852 75732     j    rj29.252   2454139.047419    -28.30  1.16011    0.202    76655.0 
 80853 75732     j    rj29.253   2454139.048218    -28.39  1.249843   0.202    77167.0 
 80854 75732     j    rj29.254   2454139.049005    -28.57  1.089787   0.203    74151.0 
 80855 75732     j    rj29.255   2454139.049792    -30.72  1.189504   0.202    74872.0 
 80856 75732     j    rj29.256   2454139.050556    -29.51  1.071665   0.202    79505.0 
 80857 75732     j    rj31.120   2454216.774236     57.84  1.101936   0.194    77312.0 
 80858 75732     j    rj31.121   2454216.775243     59.85  1.101794   0.194    76763.0 
 80859 75732     j    rj32.118   2454246.782211     57.92  1.085578   0.183    74293.0 
 80860 75732     j    rj32.119   2454246.783218     60.10  1.03724    0.181    74458.0 
 80861 75732     j    rj32.120   2454246.784225     55.82  1.116405   0.182    73359.0 
 80862 75732     j    rj32.510   2454247.815394     51.51  1.165309   0.182    72404.0 
 80863 75732     j    rj32.511   2454247.816238     49.75  1.115866   0.182    74209.0 
 80864 75732     j    rj32.512   2454247.81706      51.84  1.107282   0.183    75178.0 
 80865 75732     j    rj32.907   2454248.790914     34.55  1.090048   0.183    75386.0 
 80866 75732     j    rj32.908   2454248.791875     35.56  1.120248   0.183    76725.0 
 80867 75732     j    rj32.909   2454248.792813     32.77  1.027269   0.183    75946.0 
 80868 75732     j    rj32.1305  2454249.783218     -1.56  1.207767   0.183    76144.0 
 80869 75732     j    rj32.1306  2454249.784086     -4.87  1.014705   0.183    75682.0 
 80870 75732     j    rj32.1706  2454250.786493    -25.39  1.17972    0.183    74526.0 
 80871 75732     j    rj32.1707  2454250.787431    -28.47  1.172231   0.182    75819.0 
 80872 75732     j    rj32.1708  2454250.788356    -29.47  1.16648    0.183    74052.0 
 80873 75732     j    rj32.2108  2454251.790116    -57.90  1.27374    0.183    73999.0 
 80874 75732     j    rj32.2109  2454251.79103     -54.93  1.10184    0.184    72509.0 
 80875 75732     j    rj32.2110  2454251.791921    -57.08  1.212445   0.183    74066.0 
 80876 75732     j    rj33.113   2454255.736019    -71.25  1.028162   0.188    77773.0 
 80877 75732     j    rj33.114   2454255.736771    -72.65  1.076514   0.188    78476.0 
 80878 75732     j    rj33.115   2454255.737523    -72.08  1.099701   0.188    76567.0 
 80879 75732     j    rj47.429   2454398.138218    -27.06  1.057181   0.192    73709.0 
 80880 75732     j    rj48.197   2454428.044965    -49.16  1.251197   0.195    75937.0 
 80881 75732     j    rj48.198   2454428.045984    -50.99  1.205106   0.196    75539.0 
 80882 75732     j    rj48.199   2454428.046979    -51.08  1.214589   0.196    74587.0 
 80883 75732     j    rj48.474   2454429.003634    -59.35  1.16538    0.196    73779.0 
 80884 75732     j    rj48.475   2454429.004583    -57.33  1.200732   0.196    73065.0 
 80885 75732     j    rj48.476   2454429.005556    -57.60  1.195159   0.197    74951.0 
 80886 75732     j    rj48.904   2454430.080127    -62.64  1.133019   0.197    76785.0 
 80887 75732     j    rj49.144   2454454.002211     56.56  1.304849   0.188    75506.0 
 80888 75732     j    rj49.145   2454454.003588     56.86  1.23468    0.188    74922.0 
 80889 75732     j    rj49.565   2454454.963785     34.18  1.281247   0.192    75760.0 
 80890 75732     j    rj49.981   2454455.977072     -7.63  1.314152   0.194    74201.0 
 80891 75732     j    rj49.1935  2454458.96022     -50.66  1.498081   0.209    46602.0 
 80892 75732     j    rj49.2267  2454461.063148    -15.94  1.403542   0.207    46110.0 
 80893 75732     j    rj49.2658  2454461.945255      3.66  1.328016   0.208    46302.0 
 80894 75732     j    rj50.320   2454492.956319     30.95  1.18382    0.188    79220.0 
 80895 75732     j    rj52.151   2454544.911088    -27.91  1.200263   0.183    72492.0 
 80896 75732     j    rj52.549   2454545.903692    -53.20  1.043072   0.181    76893.0 
 80897 75732     j    rj61.471   2454779.088102    -17.64  1.375361   0.174    49802.0 
 80898 75732     j    rj61.472   2454779.088808    -18.70  1.353652   0.173    48499.0 
 80899 75732     j    rj61.473   2454779.089653    -16.63  1.301619   0.174    50847.0 
 80900 75732     j    rj63.151   2454806.009514     48.30  1.284803   0.177    47932.0 
 80901 75732     j    rj63.152   2454806.010278     42.99  1.289244   0.177    46895.0 
 80902 75732     j    rj63.153   2454806.01103      44.15  1.236646   0.176    47343.0 
 80903 75732     j    rj63.492   2454807.037569     26.16  1.177132   0.175    50430.0 
 80904 75732     j    rj63.493   2454807.038287     33.63  1.677493   0.175    49246.0 
 80905 75732     j    rj63.494   2454807.03912      30.91  1.62677    0.176    49128.0 
 80906 75732     j    rj63.770   2454808.013322    -12.93  1.238553   0.175    48244.0 
