HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD39091,2458469.64976,12.63,1.08,PFS-Post,0.1665,0.00046,-1.0000,-1.0000,rn48.720
HD39091,2458469.65139,14.02,1.06,PFS-Post,0.1673,0.00048,-1.0000,-1.0000,rn48.721
HD39091,2458469.65308,14.53,1.10,PFS-Post,0.1697,0.00052,-1.0000,-1.0000,rn48.722
HD39091,2458469.65467,14.77,1.16,PFS-Post,0.1680,0.00049,-1.0000,-1.0000,rn48.723
HD39091,2458469.76934,13.48,1.08,PFS-Post,0.1670,0.0005,-1.0000,-1.0000,rn48.734
HD39091,2458469.77100,13.68,1.12,PFS-Post,0.1656,0.0005,-1.0000,-1.0000,rn48.735
HD39091,2458469.77265,17.04,1.14,PFS-Post,0.1674,0.0005,-1.0000,-1.0000,rn48.736
HD39091,2458469.77432,15.34,1.06,PFS-Post,0.1673,0.00054,-1.0000,-1.0000,rn48.737
HD39091,2458469.77596,14.88,1.10,PFS-Post,0.1704,0.0006,-1.0000,-1.0000,rn48.738
HD39091,2458471.77000,11.14,1.05,PFS-Post,0.1683,0.0006,-1.0000,-1.0000,rn48.1137
HD39091,2458471.77163,12.72,1.06,PFS-Post,0.1692,0.0006,-1.0000,-1.0000,rn48.1138
HD39091,2458471.77329,13.70,1.10,PFS-Post,0.1703,0.00064,-1.0000,-1.0000,rn48.1139
HD39091,2458471.77494,14.96,1.12,PFS-Post,0.1685,0.00058,-1.0000,-1.0000,rn48.1140
HD39091,2458471.77659,14.21,1.13,PFS-Post,0.1728,0.00065,-1.0000,-1.0000,rn48.1141
HD39091,2458471.85053,13.94,1.14,PFS-Post,0.1725,0.00074,-1.0000,-1.0000,rn48.1152
HD39091,2458471.85215,12.16,1.17,PFS-Post,0.1740,0.00078,-1.0000,-1.0000,rn48.1153
HD39091,2458471.85383,12.34,1.10,PFS-Post,0.1789,0.00087,-1.0000,-1.0000,rn48.1154
HD39091,2458471.85549,9.90,1.21,PFS-Post,0.1834,0.00095,-1.0000,-1.0000,rn48.1155
HD39091,2458471.85715,11.49,1.11,PFS-Post,0.1858,0.00098,-1.0000,-1.0000,rn48.1156
HD39091,2458473.77391,9.15,1.04,PFS-Post,0.1615,0.0005,-1.0000,-1.0000,rn48.1702
HD39091,2458473.77555,11.10,1.01,PFS-Post,0.1582,0.00046,-1.0000,-1.0000,rn48.1703
HD39091,2458473.77722,11.42,0.98,PFS-Post,0.1626,0.0006,-1.0000,-1.0000,rn48.1704
HD39091,2458473.77884,8.67,1.04,PFS-Post,0.1671,0.00075,-1.0000,-1.0000,rn48.1705
HD39091,2458473.78051,8.68,1.01,PFS-Post,0.1686,0.00079,-1.0000,-1.0000,rn48.1706
HD39091,2458473.84203,9.94,1.09,PFS-Post,0.1705,0.00062,-1.0000,-1.0000,rn48.1715
HD39091,2458473.84371,9.16,1.08,PFS-Post,0.1685,0.00061,-1.0000,-1.0000,rn48.1716
HD39091,2458473.84537,11.88,1.09,PFS-Post,0.1714,0.00067,-1.0000,-1.0000,rn48.1717
HD39091,2458473.84702,9.03,1.09,PFS-Post,0.1778,0.0008,-1.0000,-1.0000,rn48.1718
HD39091,2458473.84864,13.23,1.11,PFS-Post,0.1768,0.00083,-1.0000,-1.0000,rn48.1719
HD39091,2458474.71976,9.77,0.99,PFS-Post,0.1607,0.00042,-1.0000,-1.0000,rn48.1990
HD39091,2458474.72142,7.19,1.01,PFS-Post,0.1612,0.00046,-1.0000,-1.0000,rn48.1991
HD39091,2458474.72306,11.14,1.04,PFS-Post,0.1656,0.00055,-1.0000,-1.0000,rn48.1992
HD39091,2458474.72475,9.91,1.01,PFS-Post,0.1677,0.0006,-1.0000,-1.0000,rn48.1993
HD39091,2458474.72635,8.90,1.03,PFS-Post,0.1651,0.00059,-1.0000,-1.0000,rn48.1994
HD39091,2458474.82911,6.15,1.08,PFS-Post,0.1685,0.00063,-1.0000,-1.0000,rn48.2025
HD39091,2458474.83074,10.93,1.03,PFS-Post,0.1661,0.0006,-1.0000,-1.0000,rn48.2026
HD39091,2458474.83241,9.53,1.06,PFS-Post,0.1678,0.00069,-1.0000,-1.0000,rn48.2027
HD39091,2458474.83409,11.37,1.05,PFS-Post,0.1717,0.00078,-1.0000,-1.0000,rn48.2028
HD39091,2458474.83575,8.91,1.04,PFS-Post,0.1733,0.00076,-1.0000,-1.0000,rn48.2029
HD39091,2458475.72282,5.23,1.05,PFS-Post,0.1624,0.00042,-1.0000,-1.0000,rn48.2298
HD39091,2458475.72450,6.90,1.04,PFS-Post,0.1606,0.00037,-1.0000,-1.0000,rn48.2299
HD39091,2458475.72616,7.79,1.06,PFS-Post,0.1610,0.00039,-1.0000,-1.0000,rn48.2300
HD39091,2458475.72782,5.81,1.03,PFS-Post,0.1633,0.00045,-1.0000,-1.0000,rn48.2301
HD39091,2458475.72948,5.76,1.03,PFS-Post,0.1623,0.00042,-1.0000,-1.0000,rn48.2302
HD39091,2458475.82142,4.74,1.04,PFS-Post,0.1630,0.00055,-1.0000,-1.0000,rn48.2333
HD39091,2458475.82307,6.99,1.04,PFS-Post,0.1658,0.00063,-1.0000,-1.0000,rn48.2334
HD39091,2458475.82471,2.54,1.07,PFS-Post,0.1604,0.00048,-1.0000,-1.0000,rn48.2335
HD39091,2458475.82638,8.33,1.06,PFS-Post,0.1629,0.00054,-1.0000,-1.0000,rn48.2336
HD39091,2458475.82802,4.02,1.09,PFS-Post,0.1646,0.0006,-1.0000,-1.0000,rn48.2337
HD39091,2458476.76888,6.60,1.03,PFS-Post,0.1580,0.00045,-1.0000,-1.0000,rn48.2617
HD39091,2458476.77053,6.13,1.04,PFS-Post,0.1635,0.00063,-1.0000,-1.0000,rn48.2618
HD39091,2458476.77221,5.38,1.04,PFS-Post,0.1626,0.0006,-1.0000,-1.0000,rn48.2619
