HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD39091,2456382.90143,239.14,2.48,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,rw29.707
HD39091,2456382.90770,241.10,2.59,UCLES,-1.0000,-1.0000,0.7293,0.0027,rw29.708
HD39091,2456382.91436,244.17,2.53,UCLES,-1.0000,-1.0000,0.7291,0.0027,rw29.709
HD39091,2456558.25700,89.10,2.32,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,rw32.695
HD39091,2456558.26360,90.41,2.11,UCLES,-1.0000,-1.0000,0.7257,0.0027,rw32.696
HD39091,2456558.27008,91.42,2.47,UCLES,-1.0000,-1.0000,0.7322,0.0029,rw32.697
HD39091,2456708.95511,20.95,3.12,UCLES,-1.0000,-1.0000,0.7230,0.0043,rw33.63
HD39091,2456708.96157,23.49,3.80,UCLES,-1.0000,-1.0000,0.7269,0.0048,rw33.64
HD39091,2456708.96811,13.50,3.12,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,rw33.65
HD39091,2456769.85882,-9.41,4.20,UCLES,-1.0000,-1.0000,0.7200,0.0061,rw35.1136
HD39091,2456769.86760,0.70,4.00,UCLES,-1.0000,-1.0000,0.7220,0.0058,rw35.1137
HD39091,2456769.87476,8.36,3.22,UCLES,-1.0000,-1.0000,0.7239,0.0046,rw35.1138
HD39091,2456770.88117,13.67,3.50,UCLES,-1.0000,-1.0000,0.7261,0.0041,rw35.1358
HD39091,2456770.88715,32.99,3.43,UCLES,-1.0000,-1.0000,0.7280,0.0038,rw35.1359
HD39091,2456770.89311,16.22,3.50,UCLES,-1.0000,-1.0000,0.7288,0.0038,rw35.1360
HD39091,2456938.23612,-32.56,5.20,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,rw37.873
HD39091,2456938.24150,-33.89,4.52,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,rw37.874
HD39091,2456938.24690,-15.86,4.39,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,rw37.875
HD39091,2456969.16191,-35.15,2.76,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,rw38.93
HD39091,2456969.16892,-34.16,3.15,UCLES,-1.0000,-1.0000,0.7263,0.0043,rw38.94
HD39091,2456969.17539,-38.36,2.89,UCLES,-1.0000,-1.0000,0.7233,0.0037,rw38.95
HD39091,2457054.97067,-41.43,2.53,UCLES,-1.0000,-1.0000,0.7281,0.0033,rw39.644
HD39091,2457054.97665,-33.57,3.07,UCLES,-1.0000,-1.0000,0.7273,0.0041,rw39.645
HD39091,2457094.95702,-38.71,2.84,UCLES,-1.0000,-1.0000,0.7258,0.0037,rw40.251
HD39091,2457094.96484,-54.96,2.67,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,rw40.252
HD39091,2457094.97224,-47.54,2.92,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,rw40.253
HD39091,2457349.21512,-76.39,3.10,UCLES,-1.0000,-1.0000,0.7174,0.0048,rw44.662
HD39091,2457349.21813,-74.80,3.31,UCLES,-1.0000,-1.0000,0.7207,0.0047,rw44.663
HD39091,2457349.22115,-87.74,3.79,UCLES,-1.0000,-1.0000,0.7195,0.0051,rw44.664
