Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-24T19:13:44.247,6,-0.0031871689029841703,0.47483342483735963,FoVF,-0.12540028529227415,0.7231249239653773,2457625.2981111207
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-24T23:27:24.148,5,-0.0023098191871565657,0.462348620479235,FoVP,-0.11639971950739215,0.7224791796098743,2457625.474255025
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-25T01:13:58.320,6,-0.0018924574005536176,0.4571068641977662,FoVF,-0.11263111109466106,0.7221722105443036,2457625.5482564587
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-25T05:27:38.281,4,-7.841632140251122E-4,0.4446390686961005,FoVP,-0.10369271985403479,0.7213571042926167,2457625.724401117
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-25T07:14:12.481,5,-2.706941374896435E-4,0.439405270004464,FoVF,-0.09995150725889142,0.720979362140612,2457625.7984029013
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-25T11:27:52.518,3,0.0010641526341620127,0.42695827672531306,FoVP,-0.0910812758360818,0.7199967765524582,2457625.9745484726
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-25T13:14:26.752,4,0.0016718638954915626,0.4217339762760891,FoVF,-0.08736990957877029,0.7195491093329329,2457626.0485506733
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-25T19:14:41.149,2,0.003928831977783652,0.40409795742142973,FoVF,-0.07489430813220573,0.7178845558375571,2457626.298699993
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-08-26T01:14:55.692,1,0.006493714598257775,0.38650182623747925,FoVF,-0.06253222002661717,0.7159891481110119,2457626.5488510723
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-11-26T08:36:02.364,2,0.004118501393232693,-2.405029708820904,FoVF,-0.19214182059153764,0.7052166658739989,2457718.855416776
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-11-26T14:36:16.583,7,-0.0044379418226525415,-2.42159970097628,FoVF,-0.18167202907046348,0.7110206734065274,2457719.1055999305
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-12-09T00:57:07.385,5,-0.002881059623025373,2.9749640217137276,FoVP,0.490862805887394,0.7080297244137856,2457731.5377539033
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-12-09T02:43:41.575,4,3.162623339787648E-4,2.9704415474827477,FoVF,0.49431901785437177,0.7064074956478816,2457731.6117672063
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2017-01-12T14:10:43.494,4,0.0012456135347140402,-1.9777723785097319,FoVF,-0.700199071019434,0.7042861997681369,2457766.092239497
