Name,BJD,RV,e_RV,S,H,Count,Exp,Nrv
HD219134,2455875.81954,-3.31,1.18,0.2353,0.03695,79971,28,335
HD219134,2455875.82036,-1.78,1.14,0.2352,0.03691,76295,27,335
HD219134,2455875.82118,-1.15,1.19,0.2433,0.03690,79976,27,335
HD219134,2455875.82197,-1.23,1.06,0.2412,0.03689,75178,21,335
HD219134,2455876.84994,-0.99,1.19,0.2368,0.03699,75755,198,335
HD219134,2455876.85144,-4.24,1.28,0.2398,0.03701,76797,64,335
HD219134,2455876.85259,-2.89,1.19,0.2389,0.03703,75632,45,335
HD219134,2455910.78168,6.64,1.04,0.2266,0.03703,79110,21,335
HD219134,2455910.78241,5.08,1.10,0.2288,0.03700,81026,21,335
HD219134,2455910.78315,4.77,1.22,0.2254,0.03711,77385,22,335
HD219134,2455910.78391,6.22,1.15,0.2277,0.03708,78546,19,335
HD219134,2455910.78463,5.35,1.11,0.2262,0.03708,81521,21,335
HD219134,2455911.80830,-1.24,1.10,0.2304,0.03703,77999,21,335
HD219134,2455911.80903,-1.05,1.04,0.2268,0.03701,79417,19,335
HD219134,2455911.80975,-1.46,1.07,0.2271,0.03700,78381,19,335
HD219134,2455911.81048,-2.08,1.03,0.2258,0.03702,77208,18,335
HD219134,2455911.81118,0.52,1.04,0.2311,0.03696,80388,18,335
HD219134,2455912.85138,-1.33,1.08,0.2342,0.03700,74901,22,335
HD219134,2455912.85213,-0.16,1.15,0.2293,0.03697,80128,22,335
HD219134,2455912.85291,0.39,1.17,0.2353,0.03702,78240,24,335
HD219134,2455912.85369,-0.70,1.11,0.2379,0.03701,79534,26,335
HD219134,2455912.85448,0.49,1.05,0.2375,0.03699,79703,25,335
HD219134,2456114.10249,-1.98,1.15,0.2259,0.03706,50065,28,335
HD219134,2456117.97719,3.59,1.09,0.2180,0.03697,75694,42,335
HD219134,2456117.97817,4.52,1.11,0.2193,0.03700,76689,39,335
HD219134,2456117.97912,4.10,1.09,0.2157,0.03700,77006,34,335
HD219134,2456117.98004,3.94,1.13,0.2173,0.03704,76196,34,335
HD219134,2456117.98095,4.42,1.17,0.2190,0.03697,76865,35,335
HD219134,2456164.09242,-0.91,1.34,0.2164,0.03701,50887,14,335
HD219134,2456169.99826,1.81,1.29,0.2261,0.03711,76504,95,335
HD219134,2456169.99968,0.23,1.38,0.2299,0.03711,76288,70,335
HD219134,2456170.00118,3.26,1.42,0.2246,0.03711,76319,98,335
HD219134,2456194.99044,-2.23,1.23,0.2406,0.03683,51767,13,335
HD219134,2456434.08190,-5.92,1.29,0.2269,0.03711,81311,28,335
HD219134,2456434.08272,-6.78,1.27,0.2241,0.03708,78678,25,335
HD219134,2456434.08351,-2.84,1.24,0.2251,0.03706,78608,23,335
HD219134,2456434.08433,-7.46,1.38,0.2231,0.03708,82403,27,335
HD219134,2456434.08510,-3.43,1.31,0.2179,0.03707,79119,22,335
HD219134,2456469.13284,-0.50,1.18,0.1940,0.03716,50928,16,335
HD219134,2456474.11596,-1.26,1.20,0.2219,0.03693,51682,14,335
HD219134,2456490.13743,-0.56,1.04,0.2119,0.03696,51176,12,335
HD219134,2456513.12728,2.72,1.03,0.2052,0.03706,50310,11,335
HD219134,2456514.10101,3.05,1.04,0.2012,0.03711,53687,11,335
HD219134,2456519.05659,-1.11,1.26,0.2075,0.03714,48823,18,335
HD219134,2456522.09966,-3.59,1.20,0.2201,0.03701,51606,12,335
HD219134,2456529.83341,-5.63,1.31,0.2181,0.03695,48232,56,335
HD219134,2456533.05787,-3.77,1.32,0.2195,0.03704,48433,11,335
HD219134,2456548.06066,3.99,1.32,0.2178,0.03703,48266,15,335
HD219134,2456588.93996,-2.55,1.38,0.2214,0.03714,55374,12,335
HD219134,2456613.79853,-4.83,1.19,0.2164,0.03719,52956,14,335
HD219134,2456637.71608,5.34,1.13,0.2173,0.03702,51447,14,335
HD219134,2456674.69276,-0.37,1.39,0.2121,0.03702,49317,15,335
HD219134,2456676.75273,-4.34,1.05,0.2186,0.03694,78882,21,335
HD219134,2456676.75347,-4.70,1.10,0.2255,0.03705,78917,0,335
HD219134,2456676.75420,-5.37,1.27,0.2267,0.03699,79156,20,335
HD219134,2456676.75495,-4.87,1.18,0.2244,0.03699,81557,23,335
HD219134,2456676.75569,-4.98,1.18,0.2323,0.03709,78520,19,335
