_tab5_1,RV,e_RV,FWHM,Contrast,Bisector,logR_HK,Texp
6852.725855,-18.42547,0.00044,6.05267,49.891,0.01091,-5.0473,900
6853.712577,-18.42493,0.00041,6.05401,49.885,0.01099,-5.0414,900
6853.716327,-18.42528,0.00041,6.05264,49.888,0.01178,-5.0425,900
6862.584468,-18.42310,0.00042,6.05565,49.870,0.01045,-5.0367,900
6862.588369,-18.42279,0.00041,6.05485,49.870,0.01120,-5.0375,900
6862.592073,-18.42258,0.00041,6.05477,49.871,0.01089,-5.0405,900
6862.711235,-18.42157,0.00044,6.05469,49.892,0.00962,-5.0317,900
6862.713237,-18.42199,0.00044,6.05502,49.892,0.01115,-5.0308,900
6862.715286,-18.42148,0.00044,6.05506,49.894,0.01052,-5.0322,900
6862.717300,-18.42080,0.00043,6.05553,49.884,0.01181,-5.0297,900
6862.719314,-18.42134,0.00043,6.05472,49.888,0.01177,-5.0348,900
6862.721362,-18.42142,0.00043,6.05623,49.881,0.01061,-5.0351,900
6863.569084,-18.42092,0.00048,6.05452,49.918,0.00878,-5.0375,900
6863.571156,-18.42068,0.00048,6.05412,49.917,0.00941,-5.0352,900
6863.573204,-18.42082,0.00048,6.05535,49.902,0.01069,-5.0358,900
6863.575253,-18.42001,0.00047,6.05428,49.905,0.01114,-5.0371,900
6863.577255,-18.42078,0.00046,6.05293,49.904,0.01025,-5.0354,900
6863.579258,-18.42060,0.00046,6.05329,49.901,0.01057,-5.0342,900
6863.732831,-18.42138,0.00044,6.05393,49.898,0.01099,-5.0287,900
6863.734868,-18.42184,0.00044,6.05662,49.884,0.01012,-5.0295,900
6863.736871,-18.42231,0.00044,6.05582,49.886,0.01075,-5.0277,900
6863.738908,-18.42190,0.00044,6.05515,49.886,0.01141,-5.0312,900
6863.740922,-18.42188,0.00044,6.05581,49.889,0.01086,-5.0281,900
6863.742936,-18.42214,0.00044,6.05497,49.877,0.01075,-5.0308,900
6864.575078,-18.42573,0.00048,6.05699,49.893,0.01072,-5.0259,900
6864.577161,-18.42628,0.00047,6.05779,49.892,0.00875,-5.0279,900
6864.579083,-18.42565,0.00048,6.05766,49.896,0.01076,-5.0261,900
6864.581166,-18.42599,0.00048,6.05534,49.895,0.01073,-5.0215,900
6864.583145,-18.42546,0.00049,6.05683,49.898,0.01217,-5.0229,900
6864.585136,-18.42570,0.00047,6.05551,49.894,0.01127,-5.0250,900
6864.725433,-18.42487,0.00043,6.05715,49.875,0.01119,-5.0257,900
6864.727459,-18.42467,0.00043,6.05642,49.876,0.01071,-5.0285,900
6864.729496,-18.42470,0.00042,6.05662,49.877,0.01048,-5.0265,900
6864.731487,-18.42444,0.00042,6.05610,49.879,0.01146,-5.0274,900
6864.733536,-18.42456,0.00043,6.05711,49.873,0.01129,-5.0279,900
6864.735526,-18.42400,0.00042,6.05674,49.866,0.01113,-5.0297,900
6865.568154,-18.41929,0.00047,6.05528,49.898,0.01015,-5.0181,900
6865.570214,-18.41977,0.00047,6.05604,49.895,0.01149,-5.0187,900
6865.572205,-18.41999,0.00047,6.05406,49.895,0.01120,-5.0118,900
6865.574208,-18.41977,0.00048,6.05478,49.897,0.01211,-5.0172,900
6865.576233,-18.42021,0.00047,6.05614,49.890,0.01068,-5.0194,900
6865.578282,-18.42040,0.00048,6.05587,49.897,0.01196,-5.0169,900
6865.729737,-18.42062,0.00046,6.05605,49.896,0.01119,-5.0186,900
6865.731786,-18.42011,0.00046,6.05555,49.897,0.01117,-5.0203,900
6865.733823,-18.41997,0.00046,6.05498,49.889,0.01028,-5.0169,900
6865.735860,-18.42005,0.00046,6.05577,49.880,0.01053,-5.0175,900
6865.737851,-18.41950,0.00046,6.05725,49.880,0.01014,-5.0136,900
6865.739877,-18.42042,0.00046,6.05725,49.879,0.01057,-5.0139,900
6866.516170,-18.42147,0.00047,6.05568,49.892,0.01138,-5.0255,900
6866.518022,-18.42160,0.00050,6.05623,49.898,0.01024,-5.0251,900
6866.520071,-18.42026,0.00048,6.05666,49.891,0.01022,-5.0234,900
6866.522223,-18.42094,0.00049,6.05624,49.892,0.00963,-5.0311,900
6866.524087,-18.42095,0.00050,6.05653,49.894,0.01247,-5.0258,900
6866.526194,-18.42107,0.00046,6.05832,49.882,0.01098,-5.0290,900
6866.728115,-18.42124,0.00047,6.05532,49.892,0.01146,-5.0240,900
6866.730082,-18.42270,0.00049,6.05573,49.888,0.01173,-5.0218,900
