CCD,Seq,BJD,dRV,e_dRV,SHK,e_SHK
New,270,2455223.70740,-1.5,3.6,0.191,0.004
New,271,2455223.70838,-3.2,3.9,0.192,0.004
New,272,2455223.70913,-2.1,3.7,0.183,0.004
New,273,2455223.70990,-1.2,3.9,0.182,0.004
New,274,2455223.71066,-5.1,3.6,0.188,0.004
New,275,2455223.71155,-5.4,3.7,0.181,0.004
New,276,2455223.71234,-3.8,3.8,0.180,0.004
New,277,2455223.71312,-7.7,4.0,0.190,0.004
New,278,2455223.71390,-2.2,3.5,0.192,0.004
New,279,2455224.69507,0.7,3.7,0.195,0.005
New,280,2455224.69581,-3.4,3.9,0.201,0.004
New,281,2455224.69655,-5.2,3.5,0.198,0.005
New,282,2455224.69732,-0.7,3.9,0.195,0.004
New,283,2455224.69807,-2.7,3.9,0.196,0.004
New,284,2455224.69881,-0.3,3.8,0.197,0.004
New,285,2455224.69954,-4.1,3.7,0.194,0.005
New,286,2455224.70029,-6.2,3.5,0.203,0.004
New,287,2455224.70104,3.3,4.0,0.196,0.005
New,288,2455224.70193,-5.5,3.8,0.195,0.005
New,289,2455224.70268,-5.4,3.8,0.194,0.004
New,290,2455224.70346,-6.1,3.7,0.194,0.005
New,291,2455224.70421,-5.1,3.8,0.195,0.004
New,292,2455224.70496,-2.9,3.6,0.192,0.004
New,293,2455224.70584,-2.9,4.0,0.198,0.005
New,294,2455224.70659,-2.3,4.0,0.201,0.005
New,295,2455224.70734,-0.6,3.8,0.194,0.005
New,296,2455224.70808,-6.5,3.8,0.189,0.005
New,297,2455224.70882,-4.1,3.7,0.192,0.004
New,298,2455224.70957,-3.3,3.9,0.195,0.004
New,299,2455224.71031,-3.5,3.6,0.195,0.004
New,300,2455224.71106,-3.1,3.8,0.194,0.004
New,301,2455224.71182,1.0,3.8,0.191,0.004
New,302,2455224.71270,-6.6,3.8,0.197,0.005
New,303,2455224.71344,-4.3,4.0,0.192,0.004
New,304,2455224.71419,-3.6,3.9,0.199,0.004
New,305,2455224.71496,-4.2,3.6,0.193,0.004
New,306,2455224.71582,3.0,3.9,0.186,0.004
New,307,2455224.71657,-3.3,3.6,0.195,0.005
New,308,2455224.71734,-7.3,3.9,0.185,0.005
New,309,2455609.71440,6.5,4.4,0.217,0.007
New,310,2455609.71595,4.2,4.4,0.164,0.005
New,311,2455609.71738,7.9,4.4,0.161,0.005
New,312,2455609.71882,5.4,4.2,0.174,0.006
New,313,2455609.72040,3.1,4.4,0.180,0.006
New,314,2455609.72158,9.7,4.7,,
New,315,2455609.72818,8.0,4.5,,
New,316,2455610.70942,13.7,4.1,0.169,0.005
New,317,2455610.71042,11.5,4.4,0.131,0.005
New,318,2455610.71121,0.7,4.4,0.147,0.004
New,319,2455610.71201,6.8,4.2,0.136,0.004
New,320,2455610.71282,9.4,4.3,0.144,0.004
New,321,2455610.71363,11.6,4.3,0.142,0.005
New,322,2455610.71442,9.0,4.4,0.150,0.005
New,323,2455610.71521,12.2,4.5,0.158,0.004
New,324,2455610.71597,14.5,4.5,0.170,0.006
New,325,2455610.71674,6.0,4.3,0.147,0.005
New,326,2455610.71765,8.9,4.4,0.154,0.005
New,327,2455610.71853,11.4,4.3,0.164,0.005
New,328,2455610.71936,5.6,4.5,0.176,0.006
New,329,2455610.72017,8.7,4.4,0.165,0.007
New,330,2455610.72099,3.9,4.4,0.168,0.005
New,331,2455610.72187,5.9,4.3,0.150,0.005
New,332,2455610.72307,8.4,4.2,0.172,0.007
New,333,2455610.72439,7.4,4.5,0.151,0.005
New,334,2455610.72566,6.6,4.4,0.179,0.007
New,335,2455610.72688,1.3,4.7,0.155,0.005
New,336,2455610.72798,8.6,4.5,0.166,0.006
New,337,2455767.12836,-4.4,4.3,0.170,0.006
New,338,2455767.12915,-1.0,4.0,0.167,0.006
New,339,2455767.12992,-0.7,4.0,0.169,0.006
New,340,2455768.11703,3.0,4.1,0.165,0.006
New,341,2455768.11777,4.8,4.0,0.168,0.006
New,342,2455768.11852,5.5,4.0,0.168,0.006
New,343,2455934.72404,11.2,3.8,0.165,0.004
New,344,2455934.72477,11.7,3.8,0.160,0.004
New,345,2455934.72549,8.6,3.7,0.166,0.004
New,346,2455934.72622,12.3,3.9,0.166,0.004
New,347,2455934.72693,12.7,3.8,0.166,0.004
New,348,2455935.70898,8.6,3.8,0.167,0.005
